"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,6,2.50000000000000000e-01,1,0.05276899412274361
1,7,2.50000000000000000e-01,1,0.057660468854010105
2,8,2.50000000000000000e-01,1,0.0601318534463644
3,9,2.50000000000000000e-01,1,0.07486872002482414
20,9440,7.00723543153604744e-01,524,119.14894072711468
40,22914,7.60857626121289599e-01,642,289.30568822007626
60,33438,7.50184172375865654e-01,502,422.1163747124374
80,40577,7.32619425262805435e-01,340,512.2786626573652
100,49694,7.87140005589732739e-01,434,627.4669147385284
120,50671,7.27381446203853477e-01,47,639.8216848205775
140,51915,7.48811730123456476e-01,60,655.5096411844715
160,53162,7.26198805832744876e-01,60,671.2324308091775
180,54054,7.35603959697829546e-01,43,682.489393973723
200,55898,7.56719470237687597e-01,88,705.7499026414007
220,57446,7.63347389448441049e-01,74,725.2685223044828
240,58210,7.60248564894239864e-01,37,734.9223251156509
260,58886,7.15145753520098237e-01,32,743.4440730987117
280,60162,7.57338983367346952e-01,61,759.5369334220886
300,61230,7.72901391207351907e-01,51,773.0100412396714
320,62586,7.45384173080619439e-01,65,790.1416815891862
340,63590,7.70748198561523323e-01,48,802.8161310665309
360,64562,7.45463459880029711e-01,47,815.0835461867973
380,66078,7.49178970288125745e-01,73,834.2207959163934
400,66810,7.72208916051484340e-01,35,843.4648029971868
420,67526,7.57612499882890145e-01,35,852.5147873396054
440,68274,7.56585905235012901e-01,36,861.9751458577812
460,69480,7.36601929540284694e-01,58,877.1602339847013
480,70820,7.55852177790964586e-01,64,894.1005753520876
500,72080,7.43738185101088689e-01,60,910.0189947541803
520,73084,7.62415265318529656e-01,48,922.6858905004337
540,74344,8.51132491791361412e-01,60,938.5865451870486
560,75604,8.56994135434331006e-01,60,954.4877786980942
580,76864,9.00008169534511349e-01,60,970.3979054884985
600,78124,9.06209627714053112e-01,60,986.309801435098
620,79416,9.01652023304129302e-01,62,1002.6098321331665
640,80676,9.26203078134083091e-01,60,1018.5358955226839
660,81808,7.82520243502313750e-01,54,1032.8222382646054
680,82812,7.29399592462747215e-01,48,1045.4976227357984
700,83656,7.99518188272404728e-01,41,1056.140909944661
720,84628,8.70454826433218365e-01,47,1068.4142980230972
740,85280,8.35696869703872136e-01,32,1076.6561564337462
760,86124,8.33308542741283853e-01,41,1087.3150893505663
780,87288,8.63078733980547463e-01,56,1101.99032959342
800,88548,9.10613193446194624e-01,60,1117.9294517766684
820,89808,8.89533400738681701e-01,60,1133.8446322176605
840,91068,8.91787539450302424e-01,60,1149.7628087438643
860,92296,8.80804109261858925e-01,59,1165.2291730111465
880,93588,8.21223216143723067e-01,62,1181.5424025161192
900,94880,8.85167086536091108e-01,62,1197.8766177492216
920,96108,8.38705578728250689e-01,59,1213.3848654180765
940,97272,9.06238395350373427e-01,56,1228.08186365664
960,98340,8.39455095329424417e-01,51,1241.580860315822
980,99184,8.04778664635591001e-01,41,1252.2495853938162
1000,100284,8.58386902510948846e-01,53,1266.146303832531
1020,100936,8.83099677477165335e-01,32,1274.3835586095229
1040,102068,7.69409282736366662e-01,54,1288.6838067313656
1060,103104,7.82367818689194805e-01,50,1301.7813460361212
1080,103948,8.24112864074629803e-01,41,1312.4327603075653
1100,104696,8.39124512534965228e-01,36,1321.8603035826236
1120,105700,6.19337145796731048e-01,48,1334.5209287293255
1140,107184,2.23130762230729529e-01,71,1353.2390702133998
1160,108188,7.58213073615798594e-01,48,1365.9102331968024
1180,109384,8.96054591466470152e-01,57,1380.995504785329
1200,110644,8.73489742538652636e-01,60,1396.9248976157978
1220,111520,7.86548114162365364e-01,42,1407.9889149963856
1240,112524,8.64623051785778030e-01,48,1420.683015040122
1260,113624,9.02164193238289669e-01,53,1434.5934199988842
1280,114820,8.48057421004435485e-01,57,1449.7172760525718
1300,115792,8.47307938137154215e-01,47,1461.9803204229102
1320,116604,8.80588359905517426e-01,39,1472.2303259605542
1340,117480,7.70384093226711530e-01,42,1483.2655751118436
1360,118196,8.45686278869409391e-01,35,1492.31713339407
1380,118816,8.13576412399723337e-01,30,1500.1526685794815
1400,119532,8.47237286988788640e-01,35,1509.1924009723589
1420,120312,8.21282987725479585e-01,38,1519.0493037179112
1440,121570,9.29711007545603596e-02,60,1534.92736566253
1460,122766,5.44132778145755669e-01,57,1549.9816449517384
1480,123930,2.60205963676924168e-01,56,1564.6577699696645
1500,125159,7.83105182727583449e-01,62,1580.1465711258352
