"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,387,4.96031746031746046e-01,63,4.56660990905391306e-01,4,4.33876811594202882e-01,18,4.400236459448934
1,390,2.50000000000000000e-01,1,,,,,4.474033694714308
2,423,4.16666666666666644e-02,6,,,,,4.797923913225532
3,699,2.98245614035087703e-01,28,,,3.85037737251317791e-01,79,7.50097809266299
20,37587,7.51076612644865471e-01,605,7.44099613231889001e-01,652,7.40337853730214102e-01,684,383.3258278667927
40,80955,7.57371921181244301e-01,637,7.71792593971938667e-01,629,7.66044582499875726e-01,689,825.9927714848891
60,126078,7.75573650157127314e-01,566,7.55210531042480593e-01,492,7.55023304669236173e-01,717,1286.1079906793311
80,155049,7.30597254413799191e-01,548,7.18813455337450780e-01,505,7.57129839516153980e-01,460,1582.2489629741758
100,188394,7.38392491910366378e-01,384,7.59859601081661840e-01,271,7.28873843316403369e-01,530,1921.6609297767282
120,199317,6.94101185766900164e-01,294,7.20973695630371392e-01,128,6.99280591192001477e-01,174,2032.7265031216666
140,212739,7.61783568031489389e-01,162,7.85275982320556953e-01,301,8.00943525300826020e-01,214,2169.481641289778
160,225624,7.73347185195412012e-01,200,7.47018147134593802e-01,174,6.98859851811880151e-01,205,2301.402229695581
180,248301,7.73014735916215057e-01,173,7.69234473425696619e-01,131,7.62339478158779782e-01,360,2532.598979776725
200,260466,7.52755943713094178e-01,135,7.47285349256811671e-01,222,7.57875331966071486e-01,194,2656.587637118064
220,271779,7.31503021857924152e-01,207,7.58002154557767649e-01,224,7.52741653978054592e-01,180,2772.5156727312133
240,280491,7.43279097250304499e-01,166,7.74992267947050784e-01,183,7.32052308037337895e-01,139,2860.8644347433
260,290289,7.52931171591947890e-01,245,7.40092591493248353e-01,150,7.19952973532109297e-01,156,2961.6804432366043
280,304638,7.59767146929685611e-01,232,7.81286681003621308e-01,160,7.84550915975915419e-01,228,3108.2861121101305
300,313158,7.49344991219124901e-01,155,7.08439368217168242e-01,201,7.55147761903042447e-01,136,3194.66208255291
320,322614,7.66475459762247291e-01,200,7.37705751744340943e-01,167,7.72245992968483619e-01,151,3292.02866857592
340,334578,7.53154173080559319e-01,178,7.73501013638999924e-01,149,7.46814050570951182e-01,190,3413.7223895275965
360,341964,7.31894173811281079e-01,194,7.79182665490478099e-01,130,7.51147559949160604e-01,118,3488.4035923555493
380,351912,7.38433041164210158e-01,168,7.16238321197838590e-01,118,7.51240660037659325e-01,158,3590.399236387573
400,360528,7.67998760014626636e-01,165,7.44566369152769969e-01,180,7.80371072991839387e-01,137,3678.382446221076
420,369225,7.31853168893469186e-01,188,7.46796212171186857e-01,369,7.51328682285518190e-01,139,3767.5897681051865
440,378189,7.72264306035944315e-01,165,7.15404962566066449e-01,279,7.59819053645058640e-01,143,3858.6295705540106
460,390522,6.98769090727493047e-01,156,7.93634096624981966e-01,201,6.95659848186582441e-01,196,3984.8185999402776
480,401340,7.21927931441096127e-01,212,8.95188614905914282e-01,238,7.68932224283802368e-01,172,4094.6235852213576
500,413610,8.30297406673567995e-01,182,8.98970798124286485e-01,241,7.50885591054032075e-01,195,4219.596912136301
520,421230,8.64913195275475166e-01,121,8.82556949549809566e-01,230,8.41557353190239388e-01,121,4297.153500542045
540,428850,8.95118281990619935e-01,121,8.14201512934193850e-01,232,8.50620405915892719e-01,121,4374.499311858788
560,436470,8.71623798560948404e-01,121,8.64490182630379356e-01,232,9.00549802120307330e-01,121,4452.300353179686
580,448029,8.86687709037427441e-01,124,9.01116253262271627e-01,240,8.85314924078391963e-01,123,4570.3952361904085
600,463329,8.96568951071553988e-01,124,9.21519533193456808e-01,243,9.12345057650859603e-01,124,4726.619035143405
620,478629,9.00406429662191421e-01,124,9.08503034871797288e-01,243,8.73356057215110670e-01,124,4883.7612559348345
640,493929,8.95081467008615794e-01,124,8.96501284633860251e-01,243,8.99582366908741715e-01,124,5039.909878003411
660,509229,9.13430205872492573e-01,124,9.15653257001940890e-01,243,8.98252980222785213e-01,124,5196.4375149048865
680,524529,9.02894271196247100e-01,124,9.12125762727603484e-01,243,9.05899128037790713e-01,124,5352.180887982249
700,539829,8.96602464310845781e-01,124,8.96842386520505297e-01,243,9.16414997814910204e-01,124,5508.1081733852625
720,555129,8.76072681143606591e-01,124,9.03747995527381165e-01,243,8.93919860146764833e-01,124,5664.894530481659
740,570429,8.78400654364587030e-01,124,9.40548227931505831e-01,243,8.84761861662891502e-01,124,5821.699194541201
760,585729,8.56642221065533782e-01,124,9.34961874692707640e-01,243,8.78063254313434793e-01,124,5978.012248896994
780,600807,8.95278840518209051e-01,124,9.25779062737309366e-01,243,8.83726647101582996e-01,124,6133.516197357327
800,606807,,,9.27594309842338927e-01,243,7.19831388833710117e-01,113,6284.759100238793
820,611907,,,9.23848408879082594e-01,243,,,6433.877400661819
840,617007,,,9.25489505280606917e-01,243,,,6583.545860346407
860,622107,,,9.05853712519868792e-01,243,,,6732.625118561089
880,627207,,,9.23852807882799332e-01,243,,,6881.243782646023
900,632307,,,9.15525150092642348e-01,243,,,7030.414210762829
920,637407,,,9.05954674881416233e-01,243,,,7179.636438942514
940,642507,,,9.03138335650105484e-01,243,,,7328.395829003304
960,647607,,,9.21448651071217872e-01,243,,,7476.85065935459
980,652707,,,9.19513966129486660e-01,243,,,7624.909889333881
1000,657552,,,9.30898367558762097e-01,243,,,7766.958693932742
