"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,3.75000000000000000e-01,2,3.33333333333333315e-01,1,3.88888888888888840e-01,1,86.546301048249
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,86.55347815901041
2,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,86.55732670333236
3,36,2.50000000000000000e-01,1,3.75000000000000000e-01,2,3.75000000000000000e-01,2,86.73432355374098
20,33009,7.65290547829211354e-01,590,7.75662023734097206e-01,611,7.62262357232593946e-01,581,2622.3685196600854
40,74625,7.51426536167325576e-01,638,7.36846085941318174e-01,661,7.48547562805320421e-01,619,5755.496309372596
60,114699,7.58862653987681157e-01,646,7.56237232901004419e-01,637,7.63845291941853577e-01,660,8861.406655121595
80,156228,7.62151849776231960e-01,555,7.78600383336931268e-01,660,7.57200033528976246e-01,522,12080.183804471046
100,195600,7.46980542031170147e-01,297,7.15872075177365841e-01,625,7.48948475543015801e-01,338,15080.693621370941
120,212496,7.07904506546536805e-01,188,7.48672944938909013e-01,269,7.54893507680198250e-01,197,16355.753037077375
140,229011,7.71183396484299122e-01,342,7.36929572041628678e-01,263,7.74873107451856558e-01,191,17624.425834674388
160,240369,7.49001577379123540e-01,265,7.45813684019602685e-01,180,7.09174372919262885e-01,199,18533.649356767535
180,251517,7.06136035283979502e-01,349,7.55870879362596337e-01,177,7.65670497487060175e-01,191,19351.146364565007
200,265014,7.55178201076512012e-01,218,7.43228341286526928e-01,215,7.80980700912845660e-01,172,20386.817706173286
220,276150,7.52514608878466440e-01,177,7.62244888821531852e-01,177,6.90564840799419932e-01,206,21292.662379689515
240,284310,7.37383734536523616e-01,245,7.67926844215849225e-01,130,7.32541687492990645e-01,352,21880.741745804437
260,292935,7.10854510078801183e-01,165,7.15951275511442220e-01,137,7.11857615509346231e-01,207,22563.70363513939
280,306402,7.77537210361771591e-01,233,7.30869150240978538e-01,161,7.49069615142293754e-01,266,23598.32243252173
300,324429,7.38085186226362988e-01,287,7.77458761331540238e-01,205,7.78055951717456673e-01,198,24991.70392202679
320,337797,7.49103424072086965e-01,213,7.67414965540612948e-01,186,7.58960087506541647e-01,184,26024.077459516935
340,350076,7.60326468140332667e-01,195,7.57966169303371906e-01,176,7.60451867591320885e-01,228,26949.21405903995
360,362370,7.46024243005120824e-01,196,7.68884380636135734e-01,153,7.44245643375219701e-01,195,27875.023760196753
380,375363,7.78478198298485746e-01,207,7.52278244735677060e-01,167,7.60957611474350593e-01,182,28899.74978534039
400,386463,7.45764680724174567e-01,177,7.86088244564063343e-01,167,7.36020036479906548e-01,237,29717.64213998709
420,395622,7.60718952394265124e-01,146,7.21083733620128897e-01,130,7.44277929278016948e-01,256,30411.51692229137
440,405381,7.40787331513600988e-01,155,6.92190403234325680e-01,308,7.08048665682134981e-01,170,31201.6500803316
460,419574,7.37216319476515780e-01,226,7.73734218348112845e-01,195,7.55459172835509785e-01,316,32250.125337703153
480,435702,7.58053851601601991e-01,256,8.16831895365138339e-01,213,7.74333007405439755e-01,176,33509.40577004012
500,448731,7.42329806810020143e-01,207,8.40958342292376537e-01,224,8.73617002715987190e-01,174,34534.9968249416
520,464031,8.77857174438988475e-01,243,8.51906686644325117e-01,213,8.34286118131209231e-01,189,35690.97885783855
540,479331,8.63834378669958824e-01,243,8.56018745526899938e-01,226,8.99917048251050899e-01,165,36848.04112323746
560,494631,9.07983320891972312e-01,243,8.55343592772179639e-01,228,9.07583293105981959e-01,184,38003.838441539556
580,509931,8.73328533477682911e-01,243,8.98248809674428328e-01,226,8.91957927149472307e-01,179,39159.826717155986
600,525231,8.72275522497237721e-01,243,8.68539172604431808e-01,232,8.83079359102078021e-01,189,40402.16911669541
620,540531,9.00747078831425130e-01,243,8.29411370830749228e-01,238,8.04237946350746524e-01,204,41557.51611642912
640,555831,8.86616614342073284e-01,243,8.65725355456288925e-01,226,8.85681530721286525e-01,178,42713.77188494336
660,571131,8.69364499283306946e-01,243,8.48129784701170508e-01,218,8.44567145243588113e-01,176,43869.156112479046
680,586047,8.18064165714178282e-01,237,8.89068049836460594e-01,217,8.60632697188651319e-01,172,45017.47999692615
700,601347,8.96737244601130579e-01,243,9.03922499557960779e-01,222,8.13162144452061253e-01,196,46173.382758774795
720,616647,8.88159673792281890e-01,243,8.85689296430367090e-01,208,8.24487916393315423e-01,180,47414.84691371769
740,631947,8.47847533250551066e-01,243,8.31895901819100225e-01,209,9.16065308334677697e-01,178,48569.75675809104
760,647247,9.14516764486441924e-01,243,8.68261612056018373e-01,226,8.85289355470211925e-01,194,49725.38282846566
780,662547,9.06054673881912520e-01,243,8.71720744409565262e-01,218,8.95121884911341814e-01,196,50882.57110251486
800,677847,8.22842916920394019e-01,243,8.74389007719626132e-01,232,8.77509635864528237e-01,178,52038.91162993945
820,693147,8.64386219108225329e-01,243,8.97731506933705181e-01,213,8.41899318262547269e-01,160,53279.81251261942
840,708447,8.87613180882808495e-01,243,8.55956425283137756e-01,222,8.76697822426462658e-01,187,54437.84179352131
860,721483,9.12439330800845161e-01,243,8.68974696070060615e-01,232,8.46263133499882581e-01,154,55983.08255799394
880,731683,8.85709118608274837e-01,243,9.11354784333923251e-01,222,,,57918.0734980721
900,741883,8.94257780512567768e-01,243,8.66094467268284873e-01,232,,,59934.12867121864
920,752083,8.82454817824993687e-01,243,8.85901394683215271e-01,199,,,61951.119373914786
940,758521,8.97668797162016530e-01,243,7.32143579049833848e-01,192,,,63226.22365161404
960,763621,8.75564887534686087e-01,243,,,,,64416.6955717057
980,768721,9.11940508948385742e-01,243,,,,,65525.59259686712
1000,773566,8.81925388405934596e-01,243,,,,,66619.93368123472
