Observable,Value,ID,Time
Act. receptor conc. Amount 1,1.6068715899261266,68,5
Act. receptor conc. Amount 1,2.506333901843701,69,10
Act. receptor conc. Amount 1,2.7513799708821742,70,15
Act. receptor conc. Amount 1,2.859106504765714,71,20
Act. receptor conc. Amount 1,2.8132302659420487,72,25
Act. receptor conc. Amount 1,0.4481207518437236,73,1
Act. receptor conc. Amount 1,1.539776047051936,74,5
Act. receptor conc. Amount 1,2.1898933946401895,75,10
Act. receptor conc. Amount 1,2.8750667896066324,76,15
Act. receptor conc. Amount 1,2.826472969715979,77,20
Act. receptor conc. Amount 1,2.48163975412837,78,25
Act. receptor conc. Amount 1,0.38261772641956365,79,1
Act. receptor conc. Amount 1,1.704814109394245,80,5
Act. receptor conc. Amount 1,2.3877903153192452,81,10
Act. receptor conc. Amount 1,2.7699197051330735,82,15
Act. receptor conc. Amount 1,2.6897074477308838,83,20
Act. receptor conc. Amount 1,2.80424295051989,84,25
Act. receptor conc. Amount 1,0.3871826665050833,85,1
Act. receptor conc. Amount 1,1.7152909756014554,86,5
Act. receptor conc. Amount 1,2.5815811999080576,87,10
Act. receptor conc. Amount 1,2.8379872357995244,88,15
Act. receptor conc. Amount 1,2.6392328488781946,89,20
Act. receptor conc. Amount 1,2.621998526095359,90,25
Act. receptor conc. Amount 1,0.4653549734078115,91,1
Act. receptor conc. Amount 1,1.5936861030870042,92,5
Act. receptor conc. Amount 1,2.479397696520027,93,10
Act. receptor conc. Amount 1,2.43974262054732,94,15
Act. receptor conc. Amount 1,2.699657598150995,95,20
Act. receptor conc. Amount 1,2.634409561010222,96,25
Act. receptor conc. Amount 1,0.3973740461927659,97,1
Act. receptor conc. Amount 1,1.547354518221372,98,5
Act. receptor conc. Amount 1,2.4267058167208906,99,10
Act. receptor conc. Amount 1,2.4711849937853283,100,15
Act. receptor conc. Amount 1,2.7893630982441286,101,20
Act. receptor conc. Amount 1,3.0398006205224557,102,25
Act. receptor conc. Amount 1,0.425042567990485,103,1
Act. receptor conc. Amount 1,1.803768447036203,104,5
Act. receptor conc. Amount 1,2.0985943869961488,105,10
Act. receptor conc. Amount 1,2.757250740644164,106,15
