"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,27,5.00000000000000000e-01,2,5.00000000000000000e-01,2,2.50000000000000000e-01,2,1.7406904699998904
1,30,2.50000000000000000e-01,1,2.50000000000000000e-01,1,,,1.7447565669999676
2,33,,,2.50000000000000000e-01,1,1.25000000000000000e-01,2,1.748703163999835
3,414,7.11380940758271407e-01,15,5.00000000000000000e-01,64,1.87500000000003275e-01,16,2.176642939999965
20,15378,7.55748771481077108e-01,188,7.76733126460944834e-01,278,7.88257155982984514e-01,210,39.04279493099989
40,26631,7.78501570949875821e-01,204,7.51112618783413510e-01,179,7.51282413914645009e-01,222,65.26061595499982
60,36261,7.59721562209833778e-01,157,7.64388693207275871e-01,153,7.32602489195062545e-01,162,87.97999431899984
80,45753,7.79737298591716477e-01,141,7.81019184183590620e-01,151,7.36582073326306541e-01,157,110.32282184099995
100,57129,7.73964823797920198e-01,33,7.79206565996913070e-01,181,7.65249590746133412e-01,120,137.40755602199988
120,58491,7.65006686861151253e-01,20,7.17294998571863185e-01,22,7.52020378238511200e-01,25,140.93331084099987
140,60087,7.39416735970697125e-01,19,7.57476205835796113e-01,26,7.31826225492360316e-01,29,144.7570666979998
160,61446,7.60560711630875574e-01,24,7.16184931804693670e-01,22,7.10216761348707148e-01,31,148.30948868899986
180,63018,7.67807542267755161e-01,22,7.36649387164145075e-01,25,7.50148501593137285e-01,21,152.04792311999995
200,64254,7.48987588311068375e-01,20,7.56369565062916860e-01,20,7.60324615988686614e-01,21,155.46526281399997
220,65490,7.53140040498234575e-01,18,7.53063296994706977e-01,20,7.55596018712831441e-01,20,158.83164938799996
240,66726,7.65859001568948372e-01,17,7.50133240512339872e-01,20,7.59234538486502797e-01,18,162.05848540199986
260,67833,7.62197532860624860e-01,16,7.36350320157677096e-01,18,7.07004226912068545e-01,19,163.53738904399984
280,69378,7.79288769557427097e-01,18,7.52245198246859093e-01,25,7.71770550760960683e-01,21,167.27673241099978
300,70446,7.53649210869021147e-01,15,7.68435440164191630e-01,17,7.51082848910762713e-01,19,170.14337705999992
320,71514,7.04020791088871389e-01,20,7.43512743095511075e-01,17,7.60350609383506959e-01,19,173.0818831649999
340,72510,7.35352634095004953e-01,18,7.52733440782222929e-01,16,7.57127311531952785e-01,16,175.27811132399984
360,73818,7.68325641682955696e-01,20,7.52001995137795087e-01,21,7.57772687071270656e-01,17,178.09061976299995
380,74838,8.18454088841352068e-01,15,7.65326904595926338e-01,17,7.58682354601786346e-01,19,180.84983133799983
400,75786,8.46052160043597179e-01,15,7.62427582410654447e-01,16,7.47545021225663353e-01,17,182.5874374629998
420,76734,8.47598169581705529e-01,15,7.32301513482887745e-01,16,7.61822619101223619e-01,20,184.90313269499984
440,77970,8.38726220860800287e-01,15,7.72999799223758499e-01,20,7.43647275334787028e-01,15,188.08641593999982
460,78861,8.60656747068109906e-01,15,7.39150646153390434e-01,14,7.29839772010326127e-01,22,189.78881640099985
480,80049,8.37573364624247252e-01,15,7.45086773840341610e-01,19,7.51645265112456662e-01,21,192.73006183799998
500,81237,8.34748604278045758e-01,15,7.64483158761857018e-01,19,7.40317630023877071e-01,16,195.8590058599998
520,82137,8.00008020174628354e-01,15,8.39188096990953869e-01,15,8.28260394715705672e-01,15,197.61791591899987
540,83037,8.33268946113574827e-01,15,8.16120254610511742e-01,15,8.19786272918415659e-01,15,200.0661035149999
560,83937,8.27429604167784216e-01,15,8.15252412113401159e-01,15,8.04288466682506753e-01,15,201.80884420199982
580,84837,8.03398211297437270e-01,15,8.41541965728488828e-01,15,8.37579073449650657e-01,15,204.118846675
600,85737,7.61317077987927582e-01,15,8.16922184098793691e-01,15,8.06676348589401959e-01,15,206.85293556399984
620,86637,8.47199942632525738e-01,15,8.01212567630418149e-01,15,7.85731782377312560e-01,15,208.3213680959998
640,87537,8.21958514253942396e-01,15,8.44855605584915126e-01,15,8.59409010613180535e-01,15,211.0854296609998
660,88437,8.07261804764020652e-01,15,8.12262866384477977e-01,15,8.12535666226151809e-01,15,212.52571011099985
680,89337,8.07201460770435197e-01,15,8.42886703466803944e-01,15,8.36630905075664510e-01,15,215.26769022999997
700,90237,7.91394402901888117e-01,15,7.30996968039524742e-01,15,8.04798679863010458e-01,15,217.12582676399984
720,91137,8.35033372373403360e-01,15,8.42499157209877003e-01,15,8.35387506136807012e-01,15,219.2859422109998
740,92037,7.33478586060277715e-01,15,8.84416583411531287e-01,15,7.98229287637299278e-01,15,221.76117895699986
760,92937,8.22574314389987071e-01,15,8.32019591247997181e-01,15,7.84239247847502541e-01,15,223.14252956399991
780,93837,8.16247491307174555e-01,15,8.03410480674204064e-01,15,7.99428053084300205e-01,15,225.79889394899988
800,94737,8.21234427785990428e-01,15,8.30715443778223150e-01,15,8.20307767986478198e-01,15,227.17800027199996
820,95637,8.11848204914413230e-01,15,7.84387839254243047e-01,15,8.05180892096448608e-01,15,229.79019516199992
840,96426,7.55948566589714210e-01,14,7.94319887184761875e-01,15,7.98916428382069665e-01,15,231.0910405049999
860,97026,,,8.45611160638536696e-01,15,7.43345257103439572e-01,15,233.11775844
880,97626,,,8.30004779328295861e-01,15,8.09524711037562184e-01,15,234.11571686999991
900,98226,,,8.04214747474107372e-01,15,8.32440678266934242e-01,15,236.33682285999998
920,98826,,,8.25693703670996926e-01,15,7.54759748002277853e-01,15,237.33281620699995
940,99426,,,7.96920275608496986e-01,15,7.99466281978702065e-01,15,238.366371308
960,100026,,,7.93323974768758933e-01,15,8.43194275522937797e-01,15,240.43574481399992
980,100626,,,8.66969490549525212e-01,15,8.02549407648633362e-01,15,241.48999569499983
1000,101071,,,8.24438246381934414e-01,15,7.47775555968050676e-01,14,242.78121418799992
