"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,7,3.33333333333333315e-01,1,85.25927662104368
1,8,2.50000000000000000e-01,1,85.26757663860917
2,9,2.50000000000000000e-01,1,85.27006066869944
3,10,2.50000000000000000e-01,1,85.27226206846535
20,7738,7.66870793122629291e-01,430,453.8485274743289
40,21564,7.69114097771086414e-01,659,1113.988620574586
60,33987,7.42678418591924183e-01,592,1707.5763719966635
80,48076,7.47383444546099285e-01,671,2380.2141471020877
100,60957,7.98848771228858112e-01,614,3011.123283092864
120,63451,7.28560896998434959e-01,119,3131.623544059694
140,65785,7.58829188300612634e-01,112,3246.308244346641
160,67832,6.80567099650062346e-01,98,3349.6364145297557
180,70633,7.95743853830463088e-01,134,3494.716336103156
200,72367,7.53779682978244603e-01,83,3586.6173809506
220,74403,7.47755265513705525e-01,97,3694.1363410763443
240,76393,7.47840511575395328e-01,95,3795.7235917989165
260,77931,7.32282494735984057e-01,74,3874.558760919608
280,79444,7.42038652215545325e-01,73,3951.85474295076
300,81194,7.59158739513054126e-01,84,4040.2301741670817
320,82998,7.50738759085825103e-01,86,4131.082464579493
340,84350,7.66687671235268042e-01,65,4194.983405882493
360,85762,7.42433443155049444e-01,68,4261.669093376957
380,87047,7.53387516934041046e-01,62,4322.392230867408
400,88412,7.53695857980832939e-01,65,4386.942073772661
420,89812,7.71117653006262782e-01,67,4453.3340136520565
440,90970,7.47620717170673355e-01,56,4508.033088383265
460,92423,7.07094914825296628e-01,69,4576.621795967221
480,94596,7.76725688464134256e-01,104,4679.226192265749
500,96566,7.68466329005420890e-01,94,4772.261483122595
520,98146,8.85342924152450861e-01,76,4846.799883925356
540,99854,8.63523097376039162e-01,82,4927.457018160261
560,101242,8.96658502309001237e-01,67,4992.9596781190485
580,102630,8.90814529566029356e-01,67,5058.517867248505
600,104274,8.89336171752497684e-01,79,5136.120773373172
620,105726,8.97034396764301301e-01,70,5204.703389123082
640,107306,8.99185821588748491e-01,76,5279.334559377283
660,108886,8.96773737402883797e-01,76,5353.9451461089775
680,110402,8.98160675766139893e-01,73,5426.2276323912665
700,112174,8.18497841788366709e-01,85,5509.84128785599
720,113626,9.09314472668376617e-01,70,5578.3564612856135
740,115270,8.81232669961441339e-01,79,5655.973470360972
760,117106,8.75226467951200293e-01,88,5742.70104784891
780,118558,8.63408540152295956e-01,70,5811.254019754939
800,120010,9.17719114222390941e-01,70,5879.808555333875
820,121526,9.08843781043010113e-01,73,5951.363621637225
840,122978,8.88327370538750549e-01,70,6019.832820887677
860,124622,9.05792700701666620e-01,79,6097.444207993336
880,126202,8.87346202390808081e-01,76,6172.09604232572
900,127910,8.91971774832472031e-01,82,6252.698705860414
920,129490,8.67872859220820914e-01,76,6327.342969470657
940,131006,8.61708094752856146e-01,73,6398.87242877204
960,132522,8.87476161621843729e-01,73,6470.444596648216
980,134102,8.91748354384176323e-01,76,6545.072196939029
1000,135490,8.98535178383297328e-01,67,6610.64716738835
1020,136750,8.78493761100567538e-01,60,6670.0804578969255
1040,138458,8.80479761583548459e-01,82,6750.6963000148535
1060,140038,9.15688395008494638e-01,76,6825.266360410489
1080,141746,8.90062527497499145e-01,82,6905.818450619467
1100,143518,8.76668235582930944e-01,85,6989.421082648449
1120,145098,9.16324366643703536e-01,76,7063.918608715758
1140,146422,9.15079494041102781e-01,64,7126.4518023384735
1160,147810,8.94556090188968978e-01,67,7191.9801079034805
1180,149262,8.93404210962119416e-01,70,7260.559730016626
1200,150842,8.81169405976041320e-01,76,7335.139628436416
1220,152358,9.11836651474849158e-01,73,7406.683653544635
1240,153682,8.92571377097209684e-01,64,7469.159754931927
1260,155262,9.13785486177406070e-01,76,7543.696680299006
1280,156778,8.92891230607264386e-01,73,7615.258857414126
1300,158614,9.07184254707806725e-01,88,7701.90182192903
1320,160322,8.73773993796816861e-01,82,7782.528663259
1340,161582,9.01770534838254423e-01,60,7841.984942617826
1360,163098,8.92313484683812219e-01,73,7913.536101083271
1380,164550,8.51361622104343296e-01,70,7982.053231463768
1400,166322,8.66062265787892804e-01,85,8065.626424253918
1420,167838,9.27396181213776316e-01,73,8137.168464732356
1440,169482,8.93040707386282606e-01,79,8214.74553893879
1460,170870,9.05638582125510072e-01,67,8280.27345216088
1480,172450,9.03112221105742297e-01,76,8354.858721114695
1500,174031,8.91597363776212903e-01,80,8429.469601321034
