"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,24,1.50628740476988265e-01,2,3.75000000000000000e-01,1,3.88888888888888840e-01,1,0.11206100500000016
1,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.12666126899999997
2,36,1.25000000013388401e-01,2,,,1.25000000000000000e-01,2,0.171282967
3,360,2.31459320936352825e-01,54,8.01998785557669625e-02,14,2.86739379111303816e-01,32,2.142940094
20,11379,7.87727302890798509e-01,205,7.55830838209125111e-01,157,7.56786124203956301e-01,154,65.972257433
40,20727,7.37578974188736525e-01,149,7.70670123276836816e-01,130,7.60621316197176212e-01,155,113.97588382699999
60,28509,7.58754486408237616e-01,124,7.72521162347605039e-01,112,7.39785787862850208e-01,128,153.516585273
80,35424,7.49096670935682774e-01,110,7.30528957723235783e-01,128,7.64395542207499279e-01,104,190.135780484
100,41802,7.87430934932106363e-01,102,7.71013055849961493e-01,31,7.63904216529154634e-01,39,223.070536261
120,42939,7.16773211913058428e-01,19,7.35582710100505355e-01,19,6.93656580378402388e-01,18,228.957014221
140,44415,7.49970279321215294e-01,24,7.72517545403215711e-01,20,7.66202629775999067e-01,26,236.59137983
160,45579,7.14122918134825757e-01,19,7.49738535131132089e-01,23,7.22349063341438336e-01,26,242.637958057
180,46791,7.38990847954050123e-01,20,7.52961661776517133e-01,16,7.71131040930566503e-01,19,248.875381831
200,48051,7.64970630102486004e-01,20,7.25335200202131047e-01,22,7.57358134428147478e-01,22,255.352315928
220,48999,7.51625788904035197e-01,16,7.06442018399000449e-01,41,7.12604367307577258e-01,16,260.23380301599997
240,50163,7.62697317571632061e-01,19,7.32339794366641206e-01,27,7.39729088219009512e-01,23,266.20786273
260,51327,7.06262229988352419e-01,19,7.27865636286402218e-01,28,7.59593218397609848e-01,21,272.214229872
280,52683,7.53034884264753956e-01,22,7.30785919827988240e-01,24,7.58186750320599456e-01,20,279.190347288
300,53703,7.66244784000773449e-01,17,7.32299866904062902e-01,24,7.50808441660194559e-01,18,284.429570899
320,54747,7.35754379715257589e-01,17,7.25135220218677601e-01,32,7.58754578366290011e-01,17,289.920655736
340,55791,7.55983455768290291e-01,17,7.26456752768983360e-01,30,7.65208842289662572e-01,18,295.297500896
360,56763,7.69887710359536848e-01,16,7.60365309685552049e-01,24,7.63394810431033966e-01,16,300.309247681
380,58473,7.68720635405473973e-01,16,7.60241049183463247e-01,32,7.62948406291719561e-01,19,309.064568839
400,60093,7.71336778523210698e-01,16,7.48449733238438886e-01,26,7.37455499711388129e-01,14,317.35353442
420,61545,7.35167868847746653e-01,17,7.50839279884489619e-01,24,7.73408091132469333e-01,27,324.840624431
440,63069,7.57382424403463261e-01,22,7.68156723348413006e-01,25,7.65375583279335414e-01,19,332.661412995
460,64212,7.84035873838289876e-01,16,7.24172760862045406e-01,18,7.98307954394121833e-01,15,338.548263855
480,65976,8.18097059884813960e-01,15,7.58538905056739265e-01,28,8.08830200356178697e-01,15,347.567405046
500,67212,7.95764829593115119e-01,15,7.72586538002036138e-01,20,8.30049548182098529e-01,15,353.9153743
520,68112,8.03104071062070712e-01,15,8.16685770353142937e-01,15,7.69746404145088992e-01,14,358.556486086
