"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,8,5.00000000000000000e-01,2,26.425183716230094
1,9,2.50000000000000000e-01,1,26.430999799631536
2,10,2.50000000000000000e-01,1,26.433459998108447
3,11,2.50000000000000000e-01,1,26.457791575230658
20,10530,7.51444828826474009e-01,585,238.76549480762333
40,27437,7.62366878334753251e-01,806,581.2248705849051
60,45685,7.46952719343231486e-01,869,948.4482204969972
80,64051,7.39567661728924075e-01,875,1319.9543456239626
100,82690,7.91201029966549174e-01,888,1696.0218064868823
120,86394,7.01674479425911324e-01,177,1770.7577656945214
140,89904,7.69013121795916410e-01,168,1841.482350287959
160,92670,7.06223328132180028e-01,132,1897.3863377282396
180,95032,7.60255923242231235e-01,113,1945.1317627215758
200,98001,7.63983373282652645e-01,142,2004.287883060053
220,100060,7.55221165381320003e-01,99,2045.5135186808184
240,102300,7.47962829960794884e-01,107,2090.207030423917
260,105234,7.26285031403826387e-01,140,2148.9020980568603
280,108767,7.53088576463237791e-01,169,2219.4353260584176
300,111448,7.60961803574041973e-01,128,2273.1766511388123
320,114076,7.33389775364573837e-01,126,2325.7026300737634
340,116414,7.54629849356789340e-01,112,2372.41669332888
360,119153,7.73897166435147943e-01,131,2427.200420048088
380,122023,7.50109987864135741e-01,137,2484.63902094122
400,124392,7.50645797218326583e-01,113,2532.129805627279
420,126938,7.49397535583456453e-01,122,2582.9562132824212
440,129414,7.71245342429648262e-01,118,2632.416125047952
460,132355,7.14957742843260857e-01,140,2691.1606876980513
480,138493,7.60079433827566042e-01,293,2813.556939688511
500,141557,7.82127416703311873e-01,146,2874.8129360945895
520,144225,9.07710828115702917e-01,128,2928.0845917239785
540,146765,8.95529248541500955e-01,121,2978.9053421495482
560,149305,8.94563941228389670e-01,121,3029.8112128367648
580,151845,9.02970219812388564e-01,121,3080.672256719321
600,154385,8.98173946121388567e-01,121,3131.563265158795
620,156925,8.57131600417209927e-01,121,3182.2614403376356
640,159721,8.70608352383592465e-01,134,3237.9089944688603
660,162389,8.85309118189523625e-01,128,3291.231121400371
680,164929,8.83676737349238794e-01,121,3341.8588697202504
700,167469,9.15785012442308588e-01,121,3392.7158995773643
720,170009,8.98615842196537451e-01,121,3443.7203078409657
740,172549,8.95970487223923362e-01,121,3494.587691541761
760,175089,9.04638147271730531e-01,121,3545.301762362011
780,177629,8.93537046888174147e-01,121,3596.2569405985996
800,180169,9.02787765265700259e-01,121,3646.9685913920403
820,182709,8.82584138097815107e-01,121,3697.9597187852487
840,185377,8.58934236823237773e-01,128,3751.2157725570723
860,188173,8.79185156080821262e-01,134,3807.128591330722
880,190713,9.05567169256561555e-01,121,3857.725258396007
900,193509,9.06167006338011172e-01,134,3913.4919747589156
920,196305,9.18919769387840701e-01,134,3969.388225936331
940,198845,8.75245628390520225e-01,121,4020.2546107089147
960,201385,8.60205738763760608e-01,121,4071.005331221968
980,203925,8.64899545467312736e-01,121,4121.687387896702
1000,206465,9.01847681755208685e-01,121,4172.435398725793
1020,209133,9.21561822682717247e-01,128,4225.768328010105
1040,211801,8.67981094976115974e-01,128,4279.041564749554
1060,214341,8.98468314602330231e-01,121,4329.82211779058
1080,216881,8.81855224293319306e-01,121,4380.628465548158
1100,219549,8.52777468452968646e-01,128,4433.965060378425
1120,222089,8.44593072982094850e-01,121,4484.599551849067
1140,224629,8.85869184492485862e-01,121,4535.204424427822
1160,227169,8.93902134909717927e-01,121,4586.025136910379
1180,229709,8.93285544199016734e-01,121,4636.635675383732
1200,232249,8.88722047638800028e-01,121,4687.120466945693
1220,234917,8.87987114257059229e-01,128,4740.204162019305
1240,237457,8.99535362349868528e-01,121,4791.128684559837
1260,239997,8.69405776708911837e-01,121,4841.994179645553
1280,242665,9.01196994419193320e-01,128,4895.366388540715
1300,245205,8.64121355629334342e-01,121,4945.858410219662
1320,248129,8.86357198203032937e-01,140,5004.346107530408
1340,250669,8.94181745888943724e-01,121,5055.009466380812
1360,253337,9.06678969258649103e-01,128,5108.386497940868
1380,256005,8.91312903715586913e-01,128,5161.584153914824
1400,258545,9.13635606458483296e-01,121,5212.360360293649
1420,261085,9.09565942384063519e-01,121,5262.913284596056
1440,263625,8.74947125155608241e-01,121,5313.6062283962965
1460,266293,8.98768835228404783e-01,128,5366.994230818935
1480,268833,9.25577131915448770e-01,121,5417.612468809821
1500,271246,8.82936156399027672e-01,121,5465.837397114374
