"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,9,4.00000000000000022e-01,2,188.21983436029404
1,10,2.50000000000000000e-01,1,188.23611952364445
2,11,2.50000000000000000e-01,1,188.23847850877792
3,12,2.50000000000000000e-01,1,188.33802531659603
20,13110,7.33760803484575508e-01,728,1458.0970194432884
40,31532,7.62254855888391591e-01,878,3239.516930989921
60,48950,7.65666109513442827e-01,830,4927.373352808878
80,66450,7.58652302014188651e-01,834,6623.011473952793
100,84115,7.59398519602445754e-01,841,8332.263211601414
120,89983,7.13937154286990006e-01,280,8904.222231240012
140,95608,7.59355837301264658e-01,268,9450.748864256777
160,99917,6.90736367914637550e-01,205,9869.214987101033
180,107000,7.66463097949248606e-01,338,10555.230096637271
200,113899,7.46233687894316211e-01,329,11226.74642864801
220,119763,7.51845662012277316e-01,280,11797.991446600296
240,125252,7.68015607977968306e-01,262,12332.489710538648
260,130202,7.26591795278469399e-01,236,12813.318147973157
280,136132,7.46880106802443655e-01,283,13389.957580305636
300,139886,7.66163340180759711e-01,179,13754.350806527771
320,144539,7.31310535964745378e-01,222,14205.49487414863
340,149767,7.74071492684117679e-01,249,14715.551939223893
360,154572,7.65943292750043692e-01,229,15184.509501837194
380,158554,7.18918486083177211e-01,190,15571.2393765999
400,164550,7.79846450105883049e-01,286,16154.102753545158
420,167772,7.74767381767854757e-01,154,16468.02689231932
440,171287,7.50764490762058645e-01,168,16810.167637911625
460,175406,7.01189481558295080e-01,196,17209.856457046233
480,183298,7.82439583895096047e-01,376,17977.38425140176
500,188286,7.47017987664262639e-01,238,18461.317229208536
520,193386,8.66777956834404506e-01,243,18957.820220635273
540,198486,8.65014564944969644e-01,243,19454.41115148738
560,203586,8.61858392439485588e-01,243,19948.985500972718
580,208686,8.80148045569554505e-01,243,20446.12770650536
600,213786,8.73895116310340780e-01,243,20941.454627364874
620,218886,8.94568762440326903e-01,243,21436.61230270844
640,223986,8.60752513237456607e-01,243,21932.403319040313
660,229086,8.51259587443392141e-01,243,22426.795294499025
680,234186,8.41056806576823135e-01,243,22923.714351207018
700,239286,8.90063642463071347e-01,243,23421.03326033801
720,244386,9.22157657294357391e-01,243,23917.82783109229
740,249270,8.16033107268618219e-01,233,24392.583265685476
760,254370,9.10144842296879419e-01,243,24890.908741949126
780,259470,8.86698362857031741e-01,243,25387.429301990196
800,264570,8.43661146723739486e-01,243,25885.154179899953
820,269670,8.36111460278591956e-01,243,26381.50649408903
840,274770,9.06989453795487566e-01,243,26878.24009591248
860,279870,8.96494592936192825e-01,243,27375.00255205296
880,284970,8.88981172641755579e-01,243,27870.909559978172
900,290070,8.09192649964450172e-01,243,28366.06781564746
920,295170,8.96463498515613244e-01,243,28861.563527344726
940,300270,8.75542329330619262e-01,243,29357.641205051914
960,305370,8.80614167542755788e-01,243,29853.653811081313
980,310470,8.77640175410158374e-01,243,30350.424269204028
1000,315570,8.99876385808246471e-01,243,30847.459229622036
1020,320670,8.34443607780116059e-01,243,31342.430920442566
1040,325770,8.99187677578406452e-01,243,31840.28911742475
1060,330870,8.65568217843500687e-01,243,32337.209246710874
1080,335970,8.99264395326714427e-01,243,32833.3832112439
1100,341070,8.61192895718430940e-01,243,33329.133382251486
1120,346170,8.73393075384791939e-01,243,33823.41904173419
1140,351270,9.04960205354340852e-01,243,34319.3382256059
1160,356370,8.86837305304415180e-01,243,34814.465732519515
1180,361470,8.90884388821648332e-01,243,35310.98203408718
1200,366570,9.10688353863657207e-01,243,35806.55608911812
1220,371670,9.01116492509138611e-01,243,36302.659983244725
1240,376770,8.88783647620049910e-01,243,36799.08024766762
1260,381870,9.02650081670712257e-01,243,37294.2942669224
1280,386970,8.91012449405493512e-01,243,37789.37609718926
1300,392070,8.51186015835579846e-01,243,38284.50098983012
1320,397170,8.46143331906201501e-01,243,38778.80362707842
1340,402270,9.04155056583597072e-01,243,39279.463204851374
1360,407370,8.66310104962312755e-01,243,39779.7219157964
1380,412470,8.84529605040286104e-01,243,40280.473713774234
1400,417570,9.00079814877005946e-01,243,40781.79150833562
1420,422670,9.02174773836674992e-01,243,41283.989293680526
1440,427770,8.83602558606287114e-01,243,41786.239474820904
1460,432870,8.99759955660938915e-01,243,42287.06565010082
1480,437970,8.91543982969456472e-01,243,42787.391694072634
1500,442815,8.84574009298865982e-01,243,43264.75317472685
