"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,3.33333333333333315e-01,1,3.75000000000000000e-01,2,3.75000000000000000e-01,2,0.27097752410918474
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2772051580250263
2,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2812102111056447
3,36,3.75000000000000000e-01,2,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.4047343172132969
20,36003,7.75427934366523464e-01,342,7.57166886290733809e-01,534,7.40046040867811450e-01,667,471.39568851236254
40,88185,7.56074604737273614e-01,758,7.63022368697831688e-01,779,7.58917456897800768e-01,829,1153.5681308889762
60,134349,7.67474151406590033e-01,808,7.47282057268594091e-01,733,7.63805384367211571e-01,733,1756.5134279141203
80,180411,7.39286252785655962e-01,658,7.44449353143260995e-01,773,7.64595372838978826e-01,732,2359.15346631594
100,223602,7.79604327724364832e-01,87,7.63293709163654910e-01,323,7.55339565048526840e-01,686,2923.4704750562087
120,227787,7.43737640180817117e-01,72,7.35133676153192916e-01,98,7.17538120186778094e-01,67,2977.4906559679657
140,231879,7.45527723215553051e-01,68,7.13227973719477548e-01,67,7.47761905465535781e-01,65,3030.3510647593066
160,236481,7.65589414164253079e-01,68,7.55032430903211149e-01,73,7.01494760754986624e-01,73,3090.048311206512
180,242394,7.74536265996496165e-01,64,7.56463224639553622e-01,67,7.59534417584693755e-01,94,3166.8685678616166
200,247326,7.64805526807825653e-01,58,7.65308066208108984e-01,75,7.49386048919720826e-01,79,3231.080856756307
220,251298,7.53441332823527432e-01,58,7.11955735155361924e-01,59,7.63743506742884604e-01,64,3282.668574235402
240,255750,7.67274797172953993e-01,62,7.57766344927267799e-01,73,7.68200414198208947e-01,71,3340.478180405684
260,260049,7.33778911729121575e-01,60,7.47586420618092218e-01,79,7.28992391737722123e-01,68,3396.269879943691
280,263829,7.55247232587715422e-01,84,7.51778307424783465e-01,98,7.50139257042164220e-01,60,3445.459843473509
300,269433,7.74270574792169430e-01,87,7.64519092516319665e-01,73,7.55564335029877854e-01,89,3519.3092253487557
320,273693,8.00108911037645143e-01,77,7.35557011722613119e-01,58,7.50709716100398827e-01,68,3575.394846414216
340,278529,8.69959414555966482e-01,61,7.81718174503707952e-01,66,7.67661902056042900e-01,77,3637.944527519867
360,283191,8.63735949635102584e-01,61,7.62492876973506983e-01,61,7.52747585744982128e-01,74,3698.6363052679226
380,287355,8.38542257566427196e-01,61,7.67169851347532350e-01,58,7.53686088360224327e-01,67,3753.121610998176
400,291231,8.46791188421871066e-01,61,7.47739927597243059e-01,67,7.54673291428263671e-01,62,3803.7334924647585
420,295299,8.44844531691612444e-01,61,7.16795512937591250e-01,67,7.66049004008051315e-01,65,3857.0071229226887
