"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,27,4.33333333333333293e-01,1,3.33333333333333315e-01,1,3.75000000000000000e-01,2,0.19745385833084583
1,30,,,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.21534149162471294
2,33,3.75000000000000000e-01,2,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2197037748992443
3,42,3.75000000000000000e-01,2,3.75000000000000000e-01,2,3.33333333333333315e-01,1,0.2578156339004636
20,16929,7.50434178056990198e-01,211,7.85934004595262414e-01,262,7.77937798628126065e-01,313,73.74614025186747
40,64524,7.68131202786606848e-01,713,7.35378823370464563e-01,795,7.56827319164405488e-01,756,280.2056992063299
60,111333,7.50826094378916564e-01,755,7.67592968332094228e-01,732,7.45749869560797918e-01,743,483.1978256329894
80,161253,7.40405353233040464e-01,699,7.69551615699968883e-01,756,7.48887472053485381e-01,793,697.7079083276913
100,211578,7.76794663622541681e-01,155,7.67660805768566545e-01,351,7.88431379419754941e-01,799,915.8113616043702
120,217533,7.60706135643110293e-01,83,7.26170759734430571e-01,120,7.15487674340805513e-01,95,940.6952285086736
140,223632,7.61542540795500655e-01,86,7.65559745017465709e-01,113,7.71823150158392424e-01,97,967.2026680782437
160,229023,6.61734755824211041e-01,124,7.46878893503750696e-01,87,7.09922359657398694e-01,86,990.7145833838731
180,239523,7.70323522543902128e-01,100,7.76604017716210349e-01,99,7.49814980824366928e-01,167,1036.531049885787
200,246819,7.69056185097451328e-01,118,7.43438451377145149e-01,96,7.49201585710709939e-01,116,1068.1231378372759
220,254439,7.64005647789327891e-01,75,7.58808177878688261e-01,120,7.61134840185709871e-01,121,1101.246803060174
240,260184,7.61183827069562557e-01,80,7.54275121320915787e-01,120,7.50219841820311317e-01,92,1126.016747739166
260,267282,7.74724874970143307e-01,80,7.57156830286935145e-01,103,7.23205129262189272e-01,113,1156.6294449111447
280,274191,7.69103309122332046e-01,76,7.70578344801397308e-01,121,7.35048797947315924e-01,110,1185.980202615261
300,281463,7.14336609568273162e-01,75,7.38200719595100585e-01,110,7.88408774066520990e-01,116,1217.6547293551266
320,287376,7.23325207812952065e-01,177,7.70918102507365033e-01,117,7.53670234250963134e-01,94,1243.3224003370851
340,292563,7.57102202566515725e-01,138,7.56283103619995956e-01,100,7.36087591561489951e-01,83,1265.8872565813363
360,298647,8.02310272097408350e-01,75,7.53652813431561541e-01,85,7.63636516298957901e-01,97,1292.1459622140974
380,303234,8.59624283382678045e-01,66,7.71951626922540601e-01,85,7.53484847668976387e-01,73,1311.9042461318895
400,307998,8.19620761378781926e-01,94,7.54867603017541300e-01,94,7.75672678964805962e-01,76,1332.5940703395754
420,313155,8.05239107886358108e-01,108,7.49316184839667554e-01,101,7.55134014489155403e-01,82,1354.8793087499216
440,317319,8.76192569432326707e-01,70,6.46434551352112807e-01,95,7.73872270080199098e-01,67,1372.9488080963492
460,323838,8.59660035374965048e-01,80,7.33105143363894429e-01,141,6.96144045965557678e-01,104,1401.149570863694
480,331320,7.81968953732467331e-01,97,7.66930146062803186e-01,143,7.70505035300964924e-01,119,1433.7587305856869
500,338004,8.54361841278829082e-01,101,8.21328359580501655e-01,121,7.41095595954018416e-01,107,1462.8351327311248
520,345432,8.33297681441462434e-01,85,8.58530055847475326e-01,121,8.34607945909706217e-01,118,1495.260667592287
540,352860,8.35216621484246469e-01,83,8.65183867920810701e-01,121,8.60622592855414870e-01,118,1527.0974637679756
560,360288,8.32607311274527695e-01,82,9.11047521262296156e-01,121,8.89265618557040227e-01,118,1559.5537622384727
580,367332,8.43089694825229774e-01,87,9.02278012855171285e-01,121,8.66656727287185680e-01,112,1589.9459435073659
600,374568,8.20638029210967401e-01,105,8.64458759128513443e-01,121,8.68807859827678053e-01,115,1621.0960798924789
620,382188,8.08518963389882273e-01,89,9.04926885388143809e-01,121,8.89957959604901649e-01,121,1654.1043020822108
640,389616,8.68178522943783615e-01,88,8.65453193471489635e-01,121,8.50322360976391467e-01,118,1686.336105428636
660,397044,8.47146880550089687e-01,78,8.70150470287846867e-01,121,8.92036151933572330e-01,118,1718.8360536014661
680,404649,8.16100404104367905e-01,69,8.83982267411036693e-01,121,8.79493950922696777e-01,118,1751.689353229478
