"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,9,3.75000000000000000e-01,2,179.19943761080503
1,10,2.50000000000000000e-01,1,179.20511547476053
2,11,2.50000000000000000e-01,1,179.20830033998936
3,13,3.33333333333333315e-01,1,179.31237933970988
20,12417,7.68959085231536332e-01,690,1301.9922865414992
40,28287,7.56356170746312118e-01,756,2738.638196025975
60,42615,7.63241615707280330e-01,683,4030.827299935743
80,57670,7.63175948376294988e-01,717,5393.556936165318
100,72414,7.61280509385383941e-01,702,6718.281677368097
120,79197,7.24413285658683459e-01,323,7331.089497053996
140,84562,7.54673084409477002e-01,256,7813.609398107044
160,90591,7.22301684574701341e-01,287,8354.13923705183
180,98403,7.55935895189572715e-01,372,9056.291783346795
200,107619,7.36995689071599847e-01,439,9883.960008297116
220,113315,7.63639014586295573e-01,272,10396.42265954893
240,118293,7.55902204460672578e-01,238,10842.860941233113
260,122921,6.86740310932447917e-01,221,11258.005602592602
280,130054,7.28352280366396765e-01,340,11899.09821433574
300,136112,7.70192230935379918e-01,289,12444.501443488523
320,141869,7.29251860097204441e-01,275,12960.173782671802
340,147245,7.80120876214169812e-01,256,13442.977634509094
360,151083,7.54553124249565554e-01,183,13789.510706803761
380,154929,7.70318148121787671e-01,184,14135.853186270222
400,159392,7.41728720215959259e-01,213,14537.459276851267
420,164188,7.42183699291745769e-01,229,14969.06690317113
440,168189,7.61625597767678131e-01,191,15328.26282962691
460,171226,7.04634028732178841e-01,145,15602.637959161773
480,177375,7.65317028319763559e-01,293,16154.864400099032
500,183043,7.51190684913572548e-01,270,16664.982679936104
520,188143,8.55376941934214208e-01,243,17124.10469443258
540,193243,8.18065100883142549e-01,243,17582.008042092435
560,198343,8.63807471616252376e-01,243,18040.5358944498
580,203443,7.76140461138290272e-01,243,18501.765103571117
600,208543,8.81634609242890277e-01,243,18963.56385276746
620,213643,8.56545547627242443e-01,243,19424.01319643855
640,218743,8.86004601753678012e-01,243,19885.846012420952
660,223843,8.65085222601648329e-01,243,20347.514392890036
680,228943,8.90292037263314184e-01,243,20809.321848722175
700,234043,8.72356962288925120e-01,243,21271.815462646075
720,239143,8.73275666744510404e-01,243,21733.138909219764
740,244243,8.81372982048992060e-01,243,22195.398283262737
760,249343,8.05043724720524101e-01,243,22658.04136682488
780,254443,8.86204618295208912e-01,243,23120.079080081545
800,259467,8.65893026420791245e-01,240,23574.67587802373
820,264567,8.88571514321787714e-01,243,24036.714107624255
840,269667,8.76357059724598653e-01,243,24497.529581912793
860,274767,8.67235258422366262e-01,243,24956.588805132546
880,279867,8.60802909610291267e-01,243,25414.295764204115
900,284967,8.48646013378665076e-01,243,25876.227675797418
920,290067,8.71387668544908123e-01,243,26338.17559586931
940,295167,8.48425926618398218e-01,243,26801.1530060526
960,300267,8.75093749085570360e-01,243,27262.543285167776
980,305367,8.64143163728976815e-01,243,27725.01636632718
1000,310467,8.81013400338513164e-01,243,28186.706144917756
1020,315567,8.82616501717033097e-01,243,28645.057829607278
1040,320667,8.56172513694094639e-01,243,29103.571367263794
1060,325767,8.55353275120883993e-01,243,29562.815599367954
1080,330867,9.17598249294417689e-01,243,30021.586818072945
1100,335967,8.29331226177694281e-01,243,30479.585533897392
1120,341067,8.76505893875178965e-01,243,30936.58433132246
1140,346167,8.73038424163718796e-01,243,31393.233552266844
1160,351267,8.04559765399045390e-01,243,31850.954605944455
1180,356367,8.77639016934573135e-01,243,32307.747986234725
1200,361467,8.53034752218272074e-01,243,32766.557111077942
1220,366567,8.44032912581458072e-01,243,33228.12335729413
1240,371667,8.60251106753088246e-01,243,33688.91696873214
1260,376767,8.61977240449647630e-01,243,34149.422985760495
1280,381867,8.32809952994155833e-01,243,34610.75388394389
1300,386967,8.72508785178728097e-01,243,35070.89973242022
1320,392067,8.62600347571885195e-01,243,35532.45668991469
1340,397167,8.60290183039315925e-01,243,35993.22930699587
1360,402267,8.93045601396008193e-01,243,36454.43158003781
1380,407367,8.80165721190277694e-01,243,36915.18270002492
1400,412467,8.34908144422693121e-01,243,37376.0648154011
1420,417567,8.18433853097548125e-01,243,37834.10747481976
1440,422667,8.44605731305255403e-01,243,38291.546403812245
1460,427767,8.91665462681237808e-01,243,38749.462797261775
1480,432867,8.69172782935521582e-01,243,39206.25355256256
1500,437712,8.72572581125840463e-01,243,39640.20818654541
