"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,4.16666666666666685e-01,2,4.16666666666666630e-01,1,3.75000000000000000e-01,2,1.7753846119999999
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,1.7785990159999998
2,27,2.50000000000000000e-01,1,,,2.50000000000000000e-01,1,1.790727065
3,36,3.33333333333333315e-01,1,3.75000000000000000e-01,2,3.75000000000000000e-01,2,1.827413527
20,23598,7.69457896520141627e-01,254,7.48259269469880750e-01,463,7.64206844988901235e-01,414,122.394191668
40,51972,7.76210457635370443e-01,375,7.80097469295980672e-01,451,7.62776440048938076e-01,362,277.659285747
60,80724,7.55642531339744350e-01,316,7.52616173861281101e-01,457,7.59642274263858108e-01,411,436.050854974
80,99186,7.55001178763707537e-01,237,7.33448662054566491e-01,293,7.31799403329558951e-01,384,532.843104088
100,122400,7.80828032739768751e-01,86,7.45388025120027775e-01,369,7.65414787451777046e-01,156,654.7267428030001
120,127740,7.84046708198967490e-01,69,7.40611501150205909e-01,85,7.32711058247404678e-01,61,683.503796228
140,132693,7.36608342203417865e-01,59,7.58280740195807934e-01,79,7.67498881483943629e-01,133,709.721826208
160,137193,7.44577743631472777e-01,65,7.32537091154736530e-01,72,7.12201600703710636e-01,92,733.918386506
180,140316,7.70501443510210104e-01,120,7.69089810193852030e-01,50,7.60271919028498111e-01,101,751.0983902610001
200,144606,7.35356571693720595e-01,90,7.45250134343083848e-01,69,7.38109717438938051e-01,76,773.923887783
220,149271,7.67995304887370778e-01,66,7.28800428502031639e-01,75,7.62318176931692237e-01,87,798.8707697130001
240,154107,7.48436434077452417e-01,58,7.77579257445566219e-01,77,7.56329327674638896e-01,59,824.712078744
260,158592,7.65855064845462397e-01,66,7.17559721268479000e-01,71,7.48535339188844739e-01,81,849.7699490670001
280,162486,7.68025562395892702e-01,62,7.49571271932669925e-01,62,7.33240194507410958e-01,71,871.99326912
300,168474,7.89295250142843408e-01,65,7.55098514847395430e-01,96,7.77606514560280959e-01,67,909.536174875
320,172830,7.49018587571754879e-01,55,7.61527975496471221e-01,70,7.58880004332934677e-01,60,934.502428652
340,177666,7.26277251845476868e-01,77,7.67098166462596431e-01,77,7.59667689714676908e-01,73,960.637492787
360,181176,7.25423185233553758e-01,75,7.54771195237781911e-01,56,7.63475911355413039e-01,67,979.174919048
380,185148,7.78728465880442977e-01,85,7.29943621770663742e-01,64,7.48669835519183979e-01,64,1000.035030044
400,189696,8.58086220349207007e-01,60,7.74223553766299144e-01,73,7.65439949713964007e-01,60,1025.0514637820002
420,192612,8.07477580688400254e-01,60,7.80269013785487298e-01,47,7.62674320329450262e-01,56,1039.535143129
440,196623,8.16428708971657757e-01,61,7.29885315461025641e-01,64,6.55957512511137097e-01,76,1060.701825092
460,199917,8.38950171093171271e-01,60,7.33340042463739628e-01,53,7.25259590245567853e-01,72,1077.5543888910001
480,205320,8.16327349923207657e-01,61,7.58050330017253748e-01,86,7.74776090607758983e-01,77,1107.3947479370001
500,209964,8.65549407529056625e-01,61,7.49696545339352927e-01,74,8.57805436737100968e-01,61,1131.703759013
520,213744,8.46927916535154979e-01,60,8.17066802715570417e-01,60,8.47753266396084171e-01,60,1153.391474173
540,217524,8.52710498647667903e-01,60,8.23239417749617619e-01,60,8.36444279008150327e-01,60,1175.2235331010002
560,221304,8.26552405310464033e-01,60,8.62306947188063111e-01,60,7.69487707689571754e-01,60,1194.776643053
580,225084,8.44810793124536774e-01,60,7.84610274047320089e-01,60,8.53187541170905672e-01,60,1215.915509494
600,228864,8.64599150887407020e-01,60,8.36543785472562140e-01,60,8.46697235624394806e-01,60,1236.772534668
620,232644,8.38966303193915630e-01,60,8.28136359499511920e-01,60,8.39024311074246465e-01,60,1257.071054021
640,236424,8.63300883683881359e-01,60,8.81803733606069229e-01,60,8.60069317466288785e-01,60,1276.675348842
660,240204,8.88694323881081272e-01,60,8.59209123424899524e-01,60,8.53834139692020821e-01,60,1297.1120523460002
680,243984,8.03578528107450785e-01,60,8.59080011704840052e-01,60,8.75955572794541615e-01,60,1317.6519355
700,247764,8.53087646074651373e-01,60,8.72402479650889018e-01,60,8.38105937689735181e-01,60,1336.249069402
