"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,27,4.50000000000000011e-01,2,3.33333333333333315e-01,1,3.88888888888888840e-01,1,0.21894033811986446
1,30,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2651920421048999
2,33,,,2.50000000000000000e-01,1,,,0.28831856418401003
3,36,,,2.50000000000000000e-01,1,3.33333333333333315e-01,1,0.31158802565187216
20,19911,7.58712673463091236e-01,265,7.91102202861039716e-01,194,7.86758050718082247e-01,369,94.20122151076794
40,64143,7.58209775544509412e-01,813,7.47117862747784356e-01,713,7.47821619487728295e-01,703,303.0432361746207
60,111750,7.55898207343861817e-01,758,7.80802591855258354e-01,856,7.66572451171745772e-01,756,527.6974842436612
80,156447,7.40286228942701241e-01,718,7.57574607860018734e-01,736,7.58287195502688527e-01,710,738.6464933585376
100,199479,7.50510713308859212e-01,375,7.74568768187758994e-01,167,7.26041097005263758e-01,683,941.4572334382683
120,207150,7.48833025422808274e-01,81,7.51358047833986298e-01,111,7.56428744021713007e-01,122,977.8104682769626
140,214236,7.55150273727693278e-01,81,7.42738923178149379e-01,90,7.50238938406829203e-01,113,1011.0725127328187
160,219789,7.80142055480110397e-01,113,7.57337663367937619e-01,100,7.36817373822628241e-01,88,1037.3350628092885
180,225699,7.51498328944482208e-01,78,7.25123854701645087e-01,101,7.38037066327499214e-01,94,1065.176890055649
200,230298,7.58705957101884820e-01,74,7.48756087405065940e-01,90,7.56294211571148733e-01,73,1086.90634844359
220,235518,7.43318045896652957e-01,85,7.41046725246365834e-01,92,7.81634230221177173e-01,83,1111.625341304578
240,241218,7.60219543649148677e-01,82,7.65139444031303628e-01,77,7.62485145038537038e-01,91,1138.3740783529356
260,247737,7.69993346892604125e-01,76,7.65029046141507574e-01,90,7.01415937859481309e-01,104,1169.2697593942285
280,254148,7.60690050351755964e-01,78,7.58824019523883675e-01,80,7.51789056426888758e-01,102,1199.474591596052
300,259287,7.57769283572059749e-01,92,7.58987613579301557e-01,70,7.70966380661388007e-01,82,1223.655047878623
320,265755,7.73208072503260735e-01,76,7.69307213697532744e-01,78,7.65017620214654470e-01,103,1254.2983672963455
340,271863,7.71188581789804206e-01,66,7.62693065982155360e-01,78,7.46950622249327179e-01,97,1283.1491094846278
360,275910,7.54387354386182984e-01,72,7.23218875716042486e-01,61,7.36154928054673863e-01,65,1302.0774021400139
380,281418,7.33397899425344835e-01,65,7.31195071411278152e-01,94,7.87284738308316467e-01,88,1328.115151709877
400,286176,7.79499953099060949e-01,112,7.64280451639703928e-01,99,7.48251049624420683e-01,76,1350.5617257850245
420,290916,7.26826908392645299e-01,74,9.01227997087180155e-01,80,7.66590076586255442e-01,76,1372.8900747839361
440,295272,8.30144144336583900e-01,102,8.51047282048253972e-01,85,7.50145305601655932e-01,70,1393.4560634437948
460,299187,8.65495017548459589e-01,64,8.55511324800041439e-01,80,7.43907015450244069e-01,62,1412.035397564061
480,305508,8.50302596234895902e-01,70,8.44374145358475992e-01,77,7.29964305337964636e-01,101,1441.8386534480378
500,312168,8.62894233850558301e-01,67,8.91736845211298812e-01,70,7.92278216816474035e-01,106,1473.391940924339
520,317100,8.74635339766885123e-01,64,8.39812996629338726e-01,87,8.39167840894677441e-01,79,1496.5702739953995
540,322800,8.71617493939210397e-01,80,8.60997986716030783e-01,71,8.56947659718350740e-01,91,1523.5080171134323
560,327732,8.06059748981069912e-01,75,8.44311266650397130e-01,92,8.67183618390651612e-01,79,1546.7389130899683
580,333048,8.81955602081821666e-01,64,8.36906777889231068e-01,94,8.52192069033970379e-01,85,1571.9013378405944
600,338172,8.52238770258869072e-01,72,8.37144588495143949e-01,96,8.57141820759997008e-01,82,1596.0359829906374
620,342336,8.22535875686671636e-01,70,8.78288521552650803e-01,79,8.65304888858625776e-01,67,1615.7131012212485
640,348036,8.42287424875707180e-01,64,8.60074840356758630e-01,94,8.61408626967161473e-01,91,1642.6448121564463
660,352392,8.55644668625253790e-01,70,8.52968296119975156e-01,84,8.67426589892623889e-01,70,1663.0410157442093
680,356364,8.80592314247404473e-01,67,8.51040561781284732e-01,100,8.57840373943115964e-01,64,1681.8423720486462
700,362064,8.43306236488568506e-01,61,8.63008083773783352e-01,71,8.62814761102075112e-01,91,1708.7843397958204
720,366420,8.73695767088339514e-01,61,8.47936740377153608e-01,78,8.42108785167282492e-01,70,1729.4353735046461
740,373080,8.15494588945614440e-01,87,8.54816850384398474e-01,104,8.67047649386562203e-01,106,1760.779919885099
760,378588,8.97813878020908063e-01,64,8.69775663248036790e-01,71,8.77145251457940311e-01,88,1786.870815642178
780,382560,8.55115185954123058e-01,75,8.54400756955565721e-01,93,8.38710829789168444e-01,64,1805.656961559318
800,387300,8.17379034774868951e-01,69,8.35410155138073596e-01,114,8.49779715561710280e-01,76,1827.9350168835372
820,391464,8.31211794400012915e-01,113,8.27169284821114181e-01,77,8.42313944451540175e-01,67,1847.4281679624692
840,395244,8.43057431722848860e-01,85,8.87126448747335927e-01,64,8.51740124219396710e-01,60,1865.3727567465976
860,400560,8.31664102967712093e-01,85,8.90667701075940288e-01,68,8.66034099564368387e-01,85,1890.521969301626
880,405063,8.37798794891928211e-01,78,8.54092941384896109e-01,80,8.66759695984310574e-01,76,1912.6979376366362
900,408095,,,8.47689675508243479e-01,80,8.87547767383006114e-01,73,1933.65525353048
920,411719,,,8.78276520128942750e-01,64,8.48513115008914354e-01,115,1966.6132234325632
940,413619,,,,,8.39427150213079898e-01,91,1992.2948107840493
960,415071,,,,,8.73665799881466310e-01,70,2012.2345684664324
980,417227,,,,,8.43603052383894991e-01,103,2040.9101478112862
1000,418488,,,,,8.60175964684057548e-01,64,2059.065597889945
